"","RandomID","Age","Sex","BornAUS","AUDITCat","Variable1","Variable2","Variable3"
"320",154,21,1,0,"Moderate",35,16,27
"321",163,20,1,0,"Moderate",18,14,37
"322",165,21,1,0,"Moderate",32,15,28
"323",179,20,1,0,"Moderate",38,21,21
"324",182,18,1,0,"Moderate",29,18,13
"325",190,21,1,0,"Moderate",19,21,30
"326",191,19,0,0,"Abstainer",33,18,21
"327",192,21,1,0,"Moderate",30,20,31
"328",206,23,0,0,"Moderate",34,19,25
"329",208,21,1,0,"Moderate",41,20,38
"330",215,20,1,1,"At Risk",34,20,23
"331",223,22,1,0,"Abstainer",27,17,30
"332",229,21,1,0,"Abstainer",27,18,46
"333",243,20,1,0,"Moderate",37,16,28
"334",246,24,1,0,"At Risk",25,15,21
"335",254,24,1,0,"Moderate",31,20,20
"336",263,22,1,0,"Moderate",28,19,30
"337",269,23,1,0,"At Risk",37,17,31
"338",272,24,1,0,"Moderate",27,19,24
"339",273,21,1,1,"Moderate",34,19,29
"340",282,21,1,0,"Moderate",31,17,20
"341",283,20,1,0,"Abstainer",40.9230769230769,21,13
"342",295,20,1,1,"Moderate",30,21,28
"343",309,20,1,0,"Moderate",30,20,15
"344",311,20,1,0,"Moderate",43,21,31
"345",314,19,1,0,"Moderate",26,16,39
"346",315,19,1,0,"Moderate",28,17,19
"347",325,20,1,0,"Moderate",25,16,24
"348",328,21,1,0,"Abstainer",34,19,21
"349",330,20,1,0,"Moderate",18,19,21
"350",339,22,1,0,"Moderate",14,15,33
"351",343,20,1,0,"Moderate",30,18,41
"352",346,20,1,0,"Moderate",18.3076923076923,17,33
"353",349,21,0,0,"Abstainer",27,17,38
"354",357,19,1,0,"Abstainer",28,21,42
"355",362,19,1,0,"Moderate",24,16,37
"356",366,23,0,0,"Abstainer",18,18,31
"357",367,22,1,0,"Abstainer",24,14,43
"358",370,19,1,1,"Moderate",30,20,33
"359",371,19,1,0,"Moderate",33,20,22
"360",374,19,0,0,"Moderate",44,17,16
"361",33,19,1,0,"Moderate",32,23,19
"362",59,20,1,0,"Moderate",36,21.6,23
"363",93,20,0,0,"Abstainer",37,21,14.4444444444444
"364",132,22,1,0,"Moderate",12,16,33
"365",149,20,1,0,"Moderate",22,20,18
"366",170,19,1,0,"Moderate",32,16,28
"367",174,18,1,0,"Moderate",31,19,13
"368",292,22,1,0,"Moderate",28,15,31
"369",301,19,1,0,"Abstainer",16,16,33
"370",307,18,1,0,"Abstainer",30,20,31
"371",321,19,1,0,"Moderate",31,14,17
"372",323,24,1,0,"Moderate",37,15,25
"373",342,20,1,0,"Moderate",30,20,39
"374",353,18,1,0,"At Risk",20,22,34
"375",376,20,0,0,"Abstainer",34,19,18
"376",10,21,1,1,"Abstainer",35,18,21
"377",36,20,1,0,"Abstainer",37,16,14
"378",37,19,0,0,"Moderate",28,23,24
"379",147,20,1,0,"Moderate",22,19,19
"380",316,18,1,0,"Moderate",39,23,15
